id,name,species_id,variety_name_type,created_at
973,BING 04,15,cherries_variety,2025-08-13 17:14:23
974,BING G,15,cherries_variety,2025-08-13 17:14:23
975,LINDO,28,peaches_variety,2025-08-13 17:14:23
976,NE 168,27,nectarines_variety,2025-08-13 17:14:23
977,NECTA SWEET,27,nectarines_variety,2025-08-13 17:14:23
978,ROYAL LADY,28,peaches_variety,2025-08-13 17:14:23
979,THOMPSON FLAME,18,grape_variety,2025-08-13 17:14:23
980,LAPINS 1,15,cherries_variety,2025-08-13 17:14:23
981,SWEET ARYANA,15,cherries_variety,2025-08-13 17:14:23
982,HIROMI RED,17,plums_variety,2025-08-13 17:14:23
983,SPRING BRITE,27,nectarines_variety,2025-08-13 17:14:23
984,EVELINA,2,apples_variety,2025-08-13 17:14:23
985,CLEMENPONS,21,clementine_variety,2025-08-13 17:14:23
986,M7,12,oranges_variety,2025-08-13 17:14:23
987,NAVEL ORANGE,12,oranges_variety,2025-08-13 17:14:23
988,FUJI BAG,2,apples_variety,2025-08-13 17:14:23
989,GOLD ROSE,2,apples_variety,2025-08-13 17:14:23
990,EARLISSE,15,cherries_variety,2025-08-13 17:14:23
991,SWEET GOLDEN PEARS,1,pears_variety,2025-08-13 17:14:23
992,CHEERY GRAND,15,cherries_variety,2025-08-13 17:14:23
993,RED CHERRIES,15,cherries_variety,2025-08-13 17:14:23
994,JULIA,6,blueberries_variety,2025-08-13 17:14:23
995,CHEERY CRUNCH,15,cherries_variety,2025-08-13 17:14:23
996,DORRIS S.C.,11,hazelnut_variety,2025-08-13 17:14:23
997,EUREKA C.C.,4,walnuts_variety,2025-08-13 17:14:23
998,VINA C.C.,4,walnuts_variety,2025-08-13 17:14:23
999,SUNDLAND S.C.,4,walnuts_variety,2025-08-13 17:14:23
1000,EUREKA S.C.,4,walnuts_variety,2025-08-13 17:14:23
1001,FLAVOR CREST,27,nectarines_variety,2025-08-13 17:14:23
1002,SAPHIRO,17,plums_variety,2025-08-13 17:14:23
1003,KLONDIKE WHITE,28,peaches_variety,2025-08-13 17:14:23
1004,SHAPIRE,17,plums_variety,2025-08-13 17:14:23
1005,SUMMER BEAUT,27,nectarines_variety,2025-08-13 17:14:23
1006,SYNPHONI,15,cherries_variety,2025-08-13 17:14:23
1007,FAVORITA DE CLAPP,1,pears_variety,2025-08-13 17:14:23
1008,LOADELL,28,peaches_variety,2025-08-13 17:14:23
1009,VISTA,28,peaches_variety,2025-08-13 17:14:23
1010,WHITE QUEEN,27,nectarines_variety,2025-08-13 17:14:23
1011,ANDES ROYAL,17,plums_variety,2025-08-13 17:14:23
1012,BLACK KNIGHT,17,plums_variety,2025-08-13 17:14:23
1013,LATE MARIA,15,cherries_variety,2025-08-13 17:14:23
1014,SUPLUM FORTYTWO,17,plums_variety,2025-08-13 17:14:23
1015,ANTARES,27,nectarines_variety,2025-08-13 17:14:23
1016,PR RED,27,nectarines_variety,2025-08-13 17:14:23
1017,REGAL IN 06,27,nectarines_variety,2025-08-13 17:14:23
1018,REGAL IN 07,27,nectarines_variety,2025-08-13 17:14:23
1019,SWEET HEART 1,15,cherries_variety,2025-08-13 17:14:23
1020,SUMMER DELIGHT,28,peaches_variety,2025-08-13 17:14:23
1021,SWEET LOE,27,nectarines_variety,2025-08-13 17:14:23
1022,ROYAL DELIGHT,28,peaches_variety,2025-08-13 17:14:23
1023,CARLOTTA,6,blueberries_variety,2025-08-13 17:14:23
1024,NE 299,27,nectarines_variety,2025-08-13 17:14:23
1025,SIN ESPECIFICAR,40,limes_variety,2025-08-13 17:14:23
1026,S/ESPECIFICAR C.C.,10,almonds_variety,2025-08-13 17:14:23
1027,RED GALA,2,apples_variety,2025-08-13 17:14:23
1028,SIN ESPECIFICAR,41,mangoes_variety,2025-08-13 17:14:23
1029,BACON,3,avocados_variety,2025-08-13 17:14:23
1030,CALLISTO,17,plums_variety,2025-08-13 17:14:23
1031,STARKRIMSON DELICIOUS,2,apples_variety,2025-08-13 17:14:23
1032,RED STARKING DELICIOUS,2,apples_variety,2025-08-13 17:14:23
1033,LARA C.C.,4,walnuts_variety,2025-08-13 17:14:23
1034,Y374,8,kiwifruit_variety,2025-08-13 17:14:23
1035,KOSUI,20,nashi pear_variety,2025-08-13 17:14:23
1036,BEAUTY,18,grape_variety,2025-08-13 17:14:23
1037,MERLOT,38,grape_variety,2025-08-13 17:14:23
1038,MALBEC,38,grape_variety,2025-08-13 17:14:23
1039,CHARDONNAY,38,grape_variety,2025-08-13 17:14:23
1040,SAUVIGNON BLANC,38,grape_variety,2025-08-13 17:14:23
1041,CAROLINE,28,peaches_variety,2025-08-13 17:14:23
1042,C82,15,cherries_variety,2025-08-13 17:14:23
1043,ANGELUS,28,peaches_variety,2025-08-13 17:14:23
1044,BING 11,15,cherries_variety,2025-08-13 17:14:23
1045,PATRIOT,6,blueberries_variety,2025-08-13 17:14:23
1046,FIESTA,2,apples_variety,2025-08-13 17:14:23
1047,GALA SPUR,2,apples_variety,2025-08-13 17:14:23
1048,KIRKWOOD RED,12,oranges_variety,2025-08-13 17:14:23
1049,MARIPOSA S.C.,4,walnuts_variety,2025-08-13 17:14:23
1050,POLINIZANTE 2,19,chestnuts_variety,2025-08-13 17:14:23
1051,CALIFORNIA S.C.,4,walnuts_variety,2025-08-13 17:14:23
1052,NATIVA,19,chestnuts_variety,2025-08-13 17:14:23
1053,KISS,8,kiwifruit_variety,2025-08-13 17:14:23
1054,CRIPPS PINK (CPVR) PINK LADY,2,apples_variety,2025-08-13 17:14:23
1055,CLEMENTINA,13,mandarins_variety,2025-08-13 17:14:23
1056,GALE GALA,2,apples_variety,2025-08-13 17:14:23
1057,GENOVA,31,baby kiwi_variety,2025-08-13 17:14:23
1058,NE 289,27,nectarines_variety,2025-08-13 17:14:23
1059,CANDY SWEET,17,plums_variety,2025-08-13 17:14:23
1060,SUMMER ROSE,17,plums_variety,2025-08-13 17:14:23
1061,CANDY SNAPS,18,grape_variety,2025-08-13 17:14:23
1062,RED SUPERIOR S.SUGRAFOURTEEN,18,grape_variety,2025-08-13 17:14:23
1063,RED WILLIAMS,1,pears_variety,2025-08-13 17:14:23
1064,AUGUST YUMMY,17,plums_variety,2025-08-13 17:14:23
1065,RED GEORGE,17,plums_variety,2025-08-13 17:14:23
1066,SILVERED,17,plums_variety,2025-08-13 17:14:23
1067,RADIANT JEWEL,27,nectarines_variety,2025-08-13 17:14:23
1068,CLOCKWORK,6,blueberries_variety,2025-08-13 17:14:23
1069,DEEP BLUE,17,plums_variety,2025-08-13 17:14:23
1070,GAR RED,17,plums_variety,2025-08-13 17:14:23
1071,ARRA 16,18,grape_variety,2025-08-13 17:14:23
1072,RED SUPERIOR SEEDLESS,18,grape_variety,2025-08-13 17:14:23
1073,SUGAR CRISP,18,grape_variety,2025-08-13 17:14:23
1074,SWEET CANDY,18,grape_variety,2025-08-13 17:14:23
1075,LATE CANDY,17,plums_variety,2025-08-13 17:14:23
1076,RED ROYAL,2,apples_variety,2025-08-13 17:14:23
1077,CARA,18,grape_variety,2025-08-13 17:14:23
1078,RED GIANT.TM,17,plums_variety,2025-08-13 17:14:23
1079,RED GIANT BIG,18,grape_variety,2025-08-13 17:14:23
1080,MARRONE DI MARRADI,19,chestnuts_variety,2025-08-13 17:14:23
1081,CORDILLERA S.C.,4,walnuts_variety,2025-08-13 17:14:23
1082,NON PAREIL C.C.,10,almonds_variety,2025-08-13 17:14:23
1083,YAMHILL C.C.,11,hazelnut_variety,2025-08-13 17:14:23
1084,TONDA PACIFICA C.C,11,hazelnut_variety,2025-08-13 17:14:23
1085,SIN ESPECIFICAR,22,persimmons_variety,2025-08-13 17:14:23
1086,MALBEC,16,onions_variety,2025-08-13 17:14:23
1087,CHERRY BURST,15,cherries_variety,2025-08-13 17:14:23
