id,name,species_id,variety_name_type,created_at
1287,EARLY SWEET,27,nectarines_variety,2025-08-13 17:14:23
1288,SWEET NECTAR,27,nectarines_variety,2025-08-13 17:14:23
1289,NECTARDREAM,27,nectarines_variety,2025-08-13 17:14:23
1290,SEKOYA POP,6,blueberries_variety,2025-08-13 17:14:23
1291,SWEET DIAMOND,17,plums_variety,2025-08-13 17:14:23
1292,SEKOYA BEAUTY,6,blueberries_variety,2025-08-13 17:14:23
1293,ANDESNECSEIS,27,nectarines_variety,2025-08-13 17:14:23
1294,ATANAIS,27,nectarines_variety,2025-08-13 17:14:23
1295,PANPANA,28,peaches_variety,2025-08-13 17:14:23
1296,IVORY SWEET CELEBRATION,18,grape_variety,2025-08-13 17:14:23
1297,TIMPSON SWEET CELEBRATION,18,grape_variety,2025-08-13 17:14:23
1298,STAR GRAND,27,nectarines_variety,2025-08-13 17:14:23
1299,CANDY HEART,17,plums_variety,2025-08-13 17:14:23
1300,NECTARIANE REGALIN,27,nectarines_variety,2025-08-13 17:14:23
1301,SHYMPONY,15,cherries_variety,2025-08-13 17:14:23
