id,name,market_id,created_at,updated_at
85,ARGELIA,5,2025-08-13 17:14:23,2025-08-13 17:14:23
86,CYPRUS,13,2025-08-13 17:14:23,2025-08-13 17:14:23
87,BULGARIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
88,AFGHANISTAN,7,2025-08-13 17:14:23,2025-08-13 17:14:23
89,BOSNIA AND HERZEGOVINA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
90,KENYA,7,2025-08-13 17:14:23,2025-08-13 17:14:23
91,HUNGARY,4,2025-08-13 17:14:23,2025-08-13 17:14:23
92,MAURICIO,7,2025-08-13 17:14:23,2025-08-13 17:14:23
93,CURAZAO,2,2025-08-13 17:14:23,2025-08-13 17:14:23
94,NEPAL,3,2025-08-13 17:14:23,2025-08-13 17:14:23
95,MONGOLIA,3,2025-08-13 17:14:23,2025-08-13 17:14:23
96,IRAK,7,2025-08-13 17:14:23,2025-08-13 17:14:23
97,IVORY COAST,7,2025-08-13 17:14:23,2025-08-13 17:14:23
98,NEW CALEDONIA,9,2025-08-13 17:14:23,2025-08-13 17:14:23
99,KYRGYZSTAN,3,2025-08-13 17:14:23,2025-08-13 17:14:23
100,ETIOPIA,7,2025-08-13 17:14:23,2025-08-13 17:14:23
101,NIGERIA,7,2025-08-13 17:14:23,2025-08-13 17:14:23
102,CROATIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
103,GHANA,7,2025-08-13 17:14:23,2025-08-13 17:14:23
104,TOGO,7,2025-08-13 17:14:23,2025-08-13 17:14:23
105,AZERBAIYAN,4,2025-08-13 17:14:23,2025-08-13 17:14:23
106,ARMENIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
107,UKRAINE,4,2025-08-13 17:14:23,2025-08-13 17:14:23
108,HAITI,2,2025-08-13 17:14:23,2025-08-13 17:14:23
